alpha,beta,rank,score,n_assets,total_cost_usd,total_emissions_kgco2,avg_recycling_eff,total_tokens,avg_latency_s,avg_gas_cost_usd,zkp_prove_time_s,zkp_verify_time_ms,theta,rho_min,lambda_token,onchain_ratio,use_zkp
0.0,0.0,1,0.0,1000,3996.396279349505,63554.65395394294,0.7469669767208746,0.0,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,4.0,0.1,1
0.0,0.0,2,0.0008009769020206255,1000,4006.173896144077,63345.44483753175,0.757695649357346,46173.896144076076,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,6.0,0.1,1
0.0,0.0,3,0.0021450809728897294,1000,4022.581528503797,63860.34009708799,0.7312907642518981,62581.528503796275,0.575,0.24000000000000005,1.2,18.0,0.55,0.7,2.0,0.1,1
0.0,0.0,4,0.006326910259831531,1000,4073.6295976364836,63218.537855761075,0.7642036997045604,113629.59763648294,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,8.0,0.1,1
0.0,0.0,5,0.009502655154779162,1000,4112.396279349505,63534.763953942944,0.7489669767208746,0.0,0.6,0.4800000000000001,1.2,18.0,0.55,0.75,4.0,0.2,1
0.0,0.0,6,0.01033702507183724,1000,4122.581528503796,63860.34009708799,0.7312907642518981,162581.52850379614,0.575,0.24000000000000005,1.2,18.0,0.55,0.65,2.0,0.1,1
0.0,0.0,7,0.011654636750777558,1000,4138.665765200548,63147.11175785893,0.7678665765200547,178665.76520054744,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,10.0,0.1,1
0.0,0.0,8,0.012408471053350946,1000,4147.8679068835,63554.65395394294,0.7469669767208746,187867.90688349874,0.575,0.24000000000000005,1.2,18.0,0.55,0.7,4.0,0.1,1
0.0,0.0,9,0.01325273193242088,1000,4158.173896144076,63325.55483753175,0.759695649357346,58173.89614407609,0.6,0.4800000000000001,1.2,18.0,0.55,0.75,6.0,0.2,1
0.0,0.0,10,0.013941480475374178,1000,4166.581528503796,63840.45009708799,0.7332907642518981,66581.52850379627,0.6,0.4800000000000001,1.2,18.0,0.55,0.7,2.0,0.2,1
0.0,0.5,1,0.11218899088955234,1000,5365.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.8,12.0,1.0,1
0.0,0.5,2,0.11629147285375867,1000,5133.900142345412,62969.36773131129,0.7838416548045491,0.0,0.75,1.9200000000000004,1.2,18.0,0.55,0.8,12.0,0.8,1
0.0,0.5,3,0.12039395481796486,1000,4901.900142345411,63009.14773131129,0.7798416548045491,0.0,0.7,1.44,1.2,18.0,0.55,0.8,12.0,0.6,1
0.0,0.5,4,0.1205085096122705,1000,4198.09985765459,63108.597731311296,0.7698416548045491,238099.85765458964,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,12.0,0.1,1
0.0,0.5,5,0.12238940179766221,1000,4362.09985765459,63088.7077313113,0.7718416548045491,262099.85765458964,0.6,0.4800000000000001,1.2,18.0,0.55,0.75,12.0,0.2,1
0.0,0.5,6,0.12449643678217114,1000,4669.900142345411,63048.92773131129,0.7758416548045491,0.0,0.6499999999999999,0.9600000000000002,1.2,18.0,0.55,0.8,12.0,0.4,1
0.0,0.5,7,0.12554048327789705,1000,5389.601081759343,62968.10175785893,0.7858665765200548,0.0,0.8,2.4,1.2,18.0,0.55,0.8,10.0,1.0,1
0.0,0.5,8,0.12615118616844556,1000,4690.099857654589,63048.92773131129,0.7758416548045491,310099.8576545897,0.6499999999999999,0.9600000000000002,1.2,18.0,0.55,0.75,12.0,0.4,1
0.0,0.5,9,0.1270496266633485,1000,4138.665765200548,63147.11175785893,0.7678665765200547,178665.76520054744,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,10.0,0.1,1
0.0,0.5,10,0.1285989187463774,1000,4437.900142345411,63088.7077313113,0.7718416548045491,0.0,0.6,0.4800000000000001,1.2,18.0,0.55,0.8,12.0,0.2,1
0.0,1.0,1,0.11218899088955234,1000,5365.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.8,12.0,1.0,1
0.0,1.0,2,0.136950407958527,1000,5389.601081759343,62968.10175785893,0.7858665765200548,0.0,0.8,2.4,1.2,18.0,0.55,0.8,10.0,1.0,1
0.0,1.0,3,0.13743653928079594,1000,5674.099857654591,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.55,0.75,12.0,1.0,1
0.0,1.0,4,0.13939926512752332,1000,5133.900142345412,62969.36773131129,0.7838416548045491,0.0,0.75,1.9200000000000004,1.2,18.0,0.55,0.8,12.0,0.8,1
0.0,1.0,5,0.15243848113688271,1000,5578.665765200548,62968.10175785893,0.7858665765200548,358665.7652005476,0.8,2.4,1.2,18.0,0.55,0.75,10.0,1.0,1
0.0,1.0,6,0.1567825471837772,1000,5346.099857654591,62969.36773131129,0.7838416548045491,406099.85765458975,0.75,1.9200000000000004,1.2,18.0,0.55,0.75,12.0,0.8,1
0.0,1.0,7,0.1613406554832377,1000,5965.900142345409,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.85,12.0,1.0,1
0.0,1.0,8,0.1641606821964981,1000,5157.601081759345,63007.88175785893,0.7818665765200548,0.0,0.75,1.9200000000000004,1.2,18.0,0.55,0.8,10.0,0.8,1
0.0,1.0,9,0.1666095393654942,1000,4901.900142345411,63009.14773131129,0.7798416548045491,0.0,0.7,1.44,1.2,18.0,0.55,0.8,12.0,0.6,1
0.0,1.0,10,0.17243984456777978,1000,5258.665765200548,63007.88175785893,0.7818665765200548,318665.7652005476,0.75,1.9200000000000004,1.2,18.0,0.55,0.75,10.0,0.8,1
0.0,2.0,1,0.11218899088955234,1000,5365.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.8,12.0,1.0,1
0.0,2.0,2,0.13743653928079594,1000,5674.099857654591,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.55,0.75,12.0,1.0,1
0.0,2.0,3,0.15977025731978692,1000,5389.601081759343,62968.10175785893,0.7858665765200548,0.0,0.8,2.4,1.2,18.0,0.55,0.8,10.0,1.0,1
0.0,2.0,4,0.1613406554832377,1000,5965.900142345409,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.85,12.0,1.0,1
0.0,2.0,5,0.17525833049814263,1000,5578.665765200548,62968.10175785893,0.7858665765200548,358665.7652005476,0.8,2.4,1.2,18.0,0.55,0.75,10.0,1.0,1
0.0,2.0,6,0.18561484967505265,1000,5133.900142345412,62969.36773131129,0.7838416548045491,0.0,0.75,1.9200000000000004,1.2,18.0,0.55,0.8,12.0,0.8,1
0.0,2.0,7,0.18658820387448144,1000,6274.099857654591,62929.587731311294,0.7878416548045492,1054099.8576545904,0.8,2.4,1.2,18.0,0.55,0.7,12.0,1.0,1
0.0,2.0,8,0.20299813173130654,1000,5346.099857654591,62969.36773131129,0.7838416548045491,406099.85765458975,0.75,1.9200000000000004,1.2,18.0,0.55,0.75,12.0,0.8,1
0.0,2.0,9,0.20892192191347236,1000,5989.601081759342,62968.10175785893,0.7858665765200548,0.0,0.8,2.4,1.2,18.0,0.55,0.85,10.0,1.0,1
0.0,2.0,10,0.21049232007692337,1000,6565.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.9,12.0,1.0,1
0.0,5.0,1,0.11218899088955234,1000,5365.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.8,12.0,1.0,1
0.0,5.0,2,0.13743653928079594,1000,5674.099857654591,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.55,0.75,12.0,1.0,1
0.0,5.0,3,0.1613406554832377,1000,5965.900142345409,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.85,12.0,1.0,1
0.0,5.0,4,0.18658820387448144,1000,6274.099857654591,62929.587731311294,0.7878416548045492,1054099.8576545904,0.8,2.4,1.2,18.0,0.55,0.7,12.0,1.0,1
0.0,5.0,5,0.21049232007692337,1000,6565.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.9,12.0,1.0,1
0.0,5.0,6,0.21745547256102857,1000,6650.900142345408,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.6,0.8,12.0,1.0,1
0.0,5.0,7,0.22822980540356666,1000,5389.601081759343,62968.10175785893,0.7858665765200548,0.0,0.8,2.4,1.2,18.0,0.55,0.8,10.0,1.0,1
0.0,5.0,8,0.23573986846816689,1000,6874.09985765459,62929.587731311294,0.7878416548045492,1654099.8576545897,0.8,2.4,1.2,18.0,0.55,0.65,12.0,1.0,1
0.0,5.0,9,0.2427030209522721,1000,6959.099857654587,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.6,0.75,12.0,1.0,1
0.0,5.0,10,0.24371787858192237,1000,5578.665765200548,62968.10175785893,0.7858665765200548,358665.7652005476,0.8,2.4,1.2,18.0,0.55,0.75,10.0,1.0,1
0.0,10.0,1,0.11218899088955234,1000,5365.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.8,12.0,1.0,1
0.0,10.0,2,0.13743653928079594,1000,5674.099857654591,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.55,0.75,12.0,1.0,1
0.0,10.0,3,0.1613406554832377,1000,5965.900142345409,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.85,12.0,1.0,1
0.0,10.0,4,0.18658820387448144,1000,6274.099857654591,62929.587731311294,0.7878416548045492,1054099.8576545904,0.8,2.4,1.2,18.0,0.55,0.7,12.0,1.0,1
0.0,10.0,5,0.21049232007692337,1000,6565.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.9,12.0,1.0,1
0.0,10.0,6,0.21745547256102857,1000,6650.900142345408,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.6,0.8,12.0,1.0,1
0.0,10.0,7,0.23573986846816689,1000,6874.09985765459,62929.587731311294,0.7878416548045492,1654099.8576545897,0.8,2.4,1.2,18.0,0.55,0.65,12.0,1.0,1
0.0,10.0,8,0.2427030209522721,1000,6959.099857654587,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.6,0.75,12.0,1.0,1
0.0,10.0,9,0.26660713715471407,1000,7250.900142345408,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.6,0.85,12.0,1.0,1
0.0,10.0,10,0.2918546855459576,1000,7559.099857654587,62929.587731311294,0.7878416548045492,1054099.8576545904,0.8,2.4,1.2,18.0,0.6,0.7,12.0,1.0,1
0.0,20.0,1,0.11218899088955234,1000,5365.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.8,12.0,1.0,1
0.0,20.0,2,0.13743653928079594,1000,5674.099857654591,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.55,0.75,12.0,1.0,1
0.0,20.0,3,0.1613406554832377,1000,5965.900142345409,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.85,12.0,1.0,1
0.0,20.0,4,0.18658820387448144,1000,6274.099857654591,62929.587731311294,0.7878416548045492,1054099.8576545904,0.8,2.4,1.2,18.0,0.55,0.7,12.0,1.0,1
0.0,20.0,5,0.21049232007692337,1000,6565.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.9,12.0,1.0,1
0.0,20.0,6,0.21745547256102857,1000,6650.900142345408,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.6,0.8,12.0,1.0,1
0.0,20.0,7,0.23573986846816689,1000,6874.09985765459,62929.587731311294,0.7878416548045492,1654099.8576545897,0.8,2.4,1.2,18.0,0.55,0.65,12.0,1.0,1
0.0,20.0,8,0.2427030209522721,1000,6959.099857654587,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.6,0.75,12.0,1.0,1
0.0,20.0,9,0.26660713715471407,1000,7250.900142345408,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.6,0.85,12.0,1.0,1
0.0,20.0,10,0.2918546855459576,1000,7559.099857654587,62929.587731311294,0.7878416548045492,1054099.8576545904,0.8,2.4,1.2,18.0,0.6,0.7,12.0,1.0,1
0.5,0.0,1,0.07950810158106802,1000,4198.09985765459,63108.597731311296,0.7698416548045491,238099.85765458964,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,12.0,0.1,1
0.5,0.0,2,0.08594459465881585,1000,4362.09985765459,63088.7077313113,0.7718416548045491,262099.85765458964,0.6,0.4800000000000001,1.2,18.0,0.55,0.75,12.0,0.2,1
0.5,0.0,3,0.0881904517612642,1000,4138.665765200548,63147.11175785893,0.7678665765200547,178665.76520054744,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,10.0,0.1,1
0.5,0.0,4,0.08964975169727807,1000,4321.900142345411,63108.597731311296,0.7698416548045491,0.0,0.575,0.24000000000000005,1.2,18.0,0.55,0.8,12.0,0.1,1
0.5,0.0,5,0.09215411160753105,1000,4437.900142345411,63088.7077313113,0.7718416548045491,0.0,0.6,0.4800000000000001,1.2,18.0,0.55,0.8,12.0,0.2,1
0.5,0.0,6,0.09429926707505411,1000,4298.665765200548,63127.22175785893,0.7698665765200547,198665.76520054747,0.6,0.4800000000000001,1.2,18.0,0.55,0.75,10.0,0.2,1
0.5,0.0,7,0.09716283142803445,1000,4669.900142345411,63048.92773131129,0.7758416548045491,0.0,0.6499999999999999,0.9600000000000002,1.2,18.0,0.55,0.8,12.0,0.4,1
0.5,0.0,8,0.09881758081430886,1000,4690.099857654589,63048.92773131129,0.7758416548045491,310099.8576545897,0.6499999999999999,0.9600000000000002,1.2,18.0,0.55,0.75,12.0,0.4,1
0.5,0.0,9,0.10217155124854041,1000,4901.900142345411,63009.14773131129,0.7798416548045491,0.0,0.7,1.44,1.2,18.0,0.55,0.8,12.0,0.6,1
0.5,0.0,10,0.10514247721474101,1000,4345.601081759344,63147.11175785893,0.7678665765200547,0.0,0.575,0.24000000000000005,1.2,18.0,0.55,0.8,10.0,0.1,1
0.5,0.5,1,0.11218899088955234,1000,5365.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.8,12.0,1.0,1
0.5,0.5,2,0.13028806334281112,1000,5133.900142345412,62969.36773131129,0.7838416548045491,0.0,0.75,1.9200000000000004,1.2,18.0,0.55,0.8,12.0,0.8,1
0.5,0.5,3,0.13743653928079594,1000,5674.099857654591,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.55,0.75,12.0,1.0,1
0.5,0.5,4,0.13909164108764516,1000,5389.601081759343,62968.10175785893,0.7858665765200548,0.0,0.8,2.4,1.2,18.0,0.55,0.8,10.0,1.0,1
0.5,0.5,5,0.14767134539906496,1000,5346.099857654591,62969.36773131129,0.7838416548045491,406099.85765458975,0.75,1.9200000000000004,1.2,18.0,0.55,0.75,12.0,0.8,1
0.5,0.5,6,0.14838713579606974,1000,4901.900142345411,63009.14773131129,0.7798416548045491,0.0,0.7,1.44,1.2,18.0,0.55,0.8,12.0,0.6,1
0.5,0.5,7,0.15457971426600087,1000,5578.665765200548,62968.10175785893,0.7858665765200548,358665.7652005476,0.8,2.4,1.2,18.0,0.55,0.75,10.0,1.0,1
0.5,0.5,8,0.15719071354090403,1000,5157.601081759345,63007.88175785893,0.7818665765200548,0.0,0.75,1.9200000000000004,1.2,18.0,0.55,0.8,10.0,0.8,1
0.5,0.5,9,0.15790615151733392,1000,5018.09985765459,63009.14773131129,0.7798416548045491,358099.85765458975,0.7,1.44,1.2,18.0,0.55,0.75,12.0,0.6,1
0.5,0.5,10,0.1613406554832377,1000,5965.900142345409,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.85,12.0,1.0,1
0.5,1.0,1,0.11218899088955234,1000,5365.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.8,12.0,1.0,1
0.5,1.0,2,0.13743653928079594,1000,5674.099857654591,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.55,0.75,12.0,1.0,1
0.5,1.0,3,0.15050156576827511,1000,5389.601081759343,62968.10175785893,0.7858665765200548,0.0,0.8,2.4,1.2,18.0,0.55,0.8,10.0,1.0,1
0.5,1.0,4,0.15339585561657576,1000,5133.900142345412,62969.36773131129,0.7838416548045491,0.0,0.75,1.9200000000000004,1.2,18.0,0.55,0.8,12.0,0.8,1
0.5,1.0,5,0.1613406554832377,1000,5965.900142345409,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.85,12.0,1.0,1
0.5,1.0,6,0.16598963894663082,1000,5578.665765200548,62968.10175785893,0.7858665765200548,358665.7652005476,0.8,2.4,1.2,18.0,0.55,0.75,10.0,1.0,1
0.5,1.0,7,0.17077913767282965,1000,5346.099857654591,62969.36773131129,0.7838416548045491,406099.85765458975,0.75,1.9200000000000004,1.2,18.0,0.55,0.75,12.0,0.8,1
0.5,1.0,8,0.18658820387448144,1000,6274.099857654591,62929.587731311294,0.7878416548045492,1054099.8576545904,0.8,2.4,1.2,18.0,0.55,0.7,12.0,1.0,1
0.5,1.0,9,0.19170843049529862,1000,5157.601081759345,63007.88175785893,0.7818665765200548,0.0,0.75,1.9200000000000004,1.2,18.0,0.55,0.8,10.0,0.8,1
0.5,1.0,10,0.19460272034359907,1000,4901.900142345411,63009.14773131129,0.7798416548045491,0.0,0.7,1.44,1.2,18.0,0.55,0.8,12.0,0.6,1
0.5,2.0,1,0.11218899088955234,1000,5365.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.8,12.0,1.0,1
0.5,2.0,2,0.13743653928079594,1000,5674.099857654591,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.55,0.75,12.0,1.0,1
0.5,2.0,3,0.1613406554832377,1000,5965.900142345409,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.85,12.0,1.0,1
0.5,2.0,4,0.17332141512953503,1000,5389.601081759343,62968.10175785893,0.7858665765200548,0.0,0.8,2.4,1.2,18.0,0.55,0.8,10.0,1.0,1
0.5,2.0,5,0.18658820387448144,1000,6274.099857654591,62929.587731311294,0.7878416548045492,1054099.8576545904,0.8,2.4,1.2,18.0,0.55,0.7,12.0,1.0,1
0.5,2.0,6,0.18880948830789074,1000,5578.665765200548,62968.10175785893,0.7858665765200548,358665.7652005476,0.8,2.4,1.2,18.0,0.55,0.75,10.0,1.0,1
0.5,2.0,7,0.1996114401641051,1000,5133.900142345412,62969.36773131129,0.7838416548045491,0.0,0.75,1.9200000000000004,1.2,18.0,0.55,0.8,12.0,0.8,1
0.5,2.0,8,0.21049232007692337,1000,6565.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.9,12.0,1.0,1
0.5,2.0,9,0.21699472222035898,1000,5346.099857654591,62969.36773131129,0.7838416548045491,406099.85765458975,0.75,1.9200000000000004,1.2,18.0,0.55,0.75,12.0,0.8,1
0.5,2.0,10,0.21745547256102857,1000,6650.900142345408,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.6,0.8,12.0,1.0,1
0.5,5.0,1,0.11218899088955234,1000,5365.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.8,12.0,1.0,1
0.5,5.0,2,0.13743653928079594,1000,5674.099857654591,62929.587731311294,0.7878416548045492,454099.8576545898,0.8,2.4,1.2,18.0,0.55,0.75,12.0,1.0,1
0.5,5.0,3,0.1613406554832377,1000,5965.900142345409,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.85,12.0,1.0,1
0.5,5.0,4,0.18658820387448144,1000,6274.099857654591,62929.587731311294,0.7878416548045492,1054099.8576545904,0.8,2.4,1.2,18.0,0.55,0.7,12.0,1.0,1
0.5,5.0,5,0.21049232007692337,1000,6565.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.9,12.0,1.0,1
0.5,5.0,6,0.21745547256102857,1000,6650.900142345408,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.6,0.8,12.0,1.0,1
0.5,5.0,7,0.23573986846816689,1000,6874.09985765459,62929.587731311294,0.7878416548045492,1654099.8576545897,0.8,2.4,1.2,18.0,0.55,0.65,12.0,1.0,1
0.5,5.0,8,0.24178096321331477,1000,5389.601081759343,62968.10175785893,0.7858665765200548,0.0,0.8,2.4,1.2,18.0,0.55,0.8,10.0,1.0,1
